DEBUG : 17-02-2021 18:11:58.515 -  [<module>]- ['title', 'console', 'genre', 'publisher']
DEBUG : 17-02-2021 18:11:58.515 -  [<module>]- ['Grand Theft Auto V', 'PC', 'Action', 'Rockstar Games']
DEBUG : 17-02-2021 18:11:58.515 -  [<module>]- ['The Binding of Isaac', 'PC', 'Action', 'Edmund McMillen']
DEBUG : 17-02-2021 18:11:58.515 -  [<module>]- ['Driver', 'PS', 'Action', 'GT Interactive']
DEBUG : 17-02-2021 18:11:58.515 -  [<module>]- ['Metal Gear Solid', 'PS', 'Action', 'Konami']
DEBUG : 17-02-2021 18:11:58.515 -  [<module>]- ['Tomb Raider (2013)', 'PC', 'Action', 'Square Enix']
DEBUG : 17-02-2021 18:11:58.515 -  [<module>]- ['Resident Evil 2', 'PS', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.658 -  [<module>]- ['Driver 2', 'PS', 'Action', 'Atari']
DEBUG : 17-02-2021 18:11:58.658 -  [<module>]- ['Tomb Raider', 'PS', 'Action', 'Eidos Interactive']
DEBUG : 17-02-2021 18:11:58.658 -  [<module>]- ['Dead Island', 'PC', 'Action', 'Deep Silver']
DEBUG : 17-02-2021 18:11:58.658 -  [<module>]- ['7 Days to Die', 'PC', 'Action', 'The Fun Pimps']
DEBUG : 17-02-2021 18:11:58.658 -  [<module>]- ['Just Cause 2', 'PC', 'Action', 'Eidos Interactive']
DEBUG : 17-02-2021 18:11:58.659 -  [<module>]- ['Frogger', 'PS', 'Action', 'Hasbro Interactive']
DEBUG : 17-02-2021 18:11:58.659 -  [<module>]- ["Harry Potter and the Sorcerer's Stone", 'PS', 'Action', 'Electronic Arts']
DEBUG : 17-02-2021 18:11:58.659 -  [<module>]- ['Diablo III: Reaper of Souls', 'PC', 'Action', 'Blizzard Entertainment']
DEBUG : 17-02-2021 18:11:58.659 -  [<module>]- ['Rugrats in Paris: The Movie', 'PS', 'Action', 'THQ']
DEBUG : 17-02-2021 18:11:58.659 -  [<module>]- ['Resident Evil 3: Nemesis', 'PS', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.659 -  [<module>]- ['Dying Light', 'PC', 'Action', 'Warner Bros. Interactive Entertainment']
DEBUG : 17-02-2021 18:11:58.659 -  [<module>]- ['Grand Theft Auto 2', 'PS', 'Action', 'Rockstar Games']
DEBUG : 17-02-2021 18:11:58.659 -  [<module>]- ['Spider-Man', 'PS', 'Action', 'Activision']
DEBUG : 17-02-2021 18:11:58.659 -  [<module>]- ['Hitman: Absolution', 'PC', 'Action', 'Square Enix']
DEBUG : 17-02-2021 18:11:58.659 -  [<module>]- ['The Binding of Isaac: Rebirth', 'PC', 'Action', 'Nicalis']
DEBUG : 17-02-2021 18:11:58.660 -  [<module>]- ['Resident Evil', 'PS', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.660 -  [<module>]- ['Hotline Miami', 'PC', 'Action', 'Devolver Digital']
DEBUG : 17-02-2021 18:11:58.660 -  [<module>]- ['Tomb Raider: The Last Revelation', 'PS', 'Action', 'Eidos Interactive']
DEBUG : 17-02-2021 18:11:58.660 -  [<module>]- ['Batman: Arkham City', 'PC', 'Action', 'Warner Bros. Interactive']
DEBUG : 17-02-2021 18:11:58.660 -  [<module>]- ['Dino Crisis', 'PS', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.660 -  [<module>]- ['Grand Theft Auto', 'PS', 'Action', 'Take-Two Interactive']
DEBUG : 17-02-2021 18:11:58.660 -  [<module>]- ['Mafia II', 'PC', 'Action', '2K Games']
DEBUG : 17-02-2021 18:11:58.660 -  [<module>]- ['Batman: Arkham Asylum', 'PC', 'Action', 'Eidos Interactive']
DEBUG : 17-02-2021 18:11:58.660 -  [<module>]- ['How to Survive 2', 'PC', 'Action', 'Unknown']
